"Consumer Price Index, monthly, not seasonally adjusted 1 2 3",,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,
Table: 18-10-0004-01 (formerly CANSIM 326-0020),,,,,,,,,,,,,,,,,
Release date: 2023-05-16,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part",,,,,,,,,,,,,,,,,
,Feb-04,101.9,,,,,,,,,,,,,,,
,Mar-04,102.1,,,,,,,,,,,,,,,
,Apr-04,101.7,,,,,,,,,,,,,,,
,May-04,102.8,,,,,,,,,,,,,,,
,Jun-04,104.2,,,,,,,,,,,,,,,
,Jul-04,104,,,,,,,,,,,,,,,
,Aug-04,103.6,,,,,,,,,,,,,,,
,Sep-04,102.8,,,,,,,,,,,,,,,
,Oct-04,103.4,,,,,,,,,,,,,,,
,Nov-04,104.8,,,,,,,,,,,,,,,
,Dec-04,105.4,,,,,,,,,,,,,,,
,Jan-05,104.8,,,,,,,,,,,,,,,
,Feb-05,104.4,,,,,,,,,,,,,,,
,Mar-05,105,,,,,,,,,,,,,,,
,Apr-05,106.2,,,,,,,,,,,,,,,
,May-05,106.4,,,,,,,,,,,,,,,
,Jun-05,106.7,,,,,,,,,,,,,,,
,Jul-05,106.3,,,,,,,,,,,,,,,
,Aug-05,106,,,,,,,,,,,,,,,
,Sep-05,104.5,,,,,,,,,,,,,,,
,Oct-05,104.9,,,,,,,,,,,,,,,
,Nov-05,105.6,,,,,,,,,,,,,,,
,Dec-05,106.5,,,,,,,,,,,,,,,
,Jan-06,107.8,,,,,,,,,,,,,,,
,Feb-06,107.4,,,,,,,,,,,,,,,
,Mar-06,107.2,,,,,,,,,,,,,,,
,Apr-06,106.9,,,,,,,,,,,,,,,
,May-06,107.7,,,,,,,,,,,,,,,
,Jun-06,108.2,,,,,,,,,,,,,,,
,Jul-06,108.5,,,,,,,,,,,,,,,
,Aug-06,108.4,,,,,,,,,,,,,,,
,Sep-06,107.8,,,,,,,,,,,,,,,
,Oct-06,108.2,,,,,,,,,,,,,,,
,Nov-06,109.1,,,,,,,,,,,,,,,
,Dec-06,108.9,,,,,,,,,,,,,,,
,Jan-07,110.2,,,,,,,,,,,,,,,
,Feb-07,112.5,,,,,,,,,,,,,,,
,Mar-07,111.9,,,,,,,,,,,,,,,
,Apr-07,111.7,,,,,,,,,,,,,,,
,May-07,112,,,,,,,,,,,,,,,
,Jun-07,111.9,,,,,,,,,,,,,,,
,Jul-07,111.4,,,,,,,,,,,,,,,
,Aug-07,110.6,,,,,,,,,,,,,,,
,Sep-07,109.2,,,,,,,,,,,,,,,
,Oct-07,108.9,,,,,,,,,,,,,,,
,Nov-07,109.8,,,,,,,,,,,,,,,
,Dec-07,110.1,,,,,,,,,,,,,,,
,Jan-08,111.4,,,,,,,,,,,,,,,
,Feb-08,111.8,,,,,,,,,,,,,,,
,Mar-08,111.6,,,,,,,,,,,,,,,
,Apr-08,112.7,,,,,,,,,,,,,,,
,May-08,114.1,,,,,,,,,,,,,,,
,Jun-08,115.3,,,,,,,,,,,,,,,
,Jul-08,116.2,,,,,,,,,,,,,,,
,Aug-08,116.4,,,,,,,,,,,,,,,
,Sep-08,116.5,,,,,,,,,,,,,,,
,Oct-08,116.8,,,,,,,,,,,,,,,
,Nov-08,119.7,,,,,,,,,,,,,,,
,Dec-08,120,,,,,,,,,,,,,,,
,Jan-09,121,,,,,,,,,,,,,,,
,Feb-09,121.8,,,,,,,,,,,,,,,
,Mar-09,122.2,,,,,,,,,,,,,,,
,Apr-09,122.1,,,,,,,,,,,,,,,
,May-09,122.5,,,,,,,,,,,,,,,
,Jun-09,122.7,,,,,,,,,,,,,,,
,Jul-09,122.7,,,,,,,,,,,,,,,
,Aug-09,121.5,,,,,,,,,,,,,,,
,Sep-09,119.7,,,,,,,,,,,,,,,
,Oct-09,119.3,,,,,,,,,,,,,,,
,Nov-09,121.2,,,,,,,,,,,,,,,
,Dec-09,121.5,,,,,,,,,,,,,,,
,Jan-10,122.1,,,,,,,,,,,,,,,
,Feb-10,122.5,,,,,,,,,,,,,,,
,Mar-10,123.1,,,,,,,,,,,,,,,
,Apr-10,122.6,,,,,,,,,,,,,,,
,May-10,122.8,,,,,,,,,,,,,,,
,Jun-10,122.8,,,,,,,,,,,,,,,
,Jul-10,123.4,,,,,,,,,,,,,,,
,Aug-10,123,,,,,,,,,,,,,,,
,Sep-10,122.3,,,,,,,,,,,,,,,
,Oct-10,121.8,,,,,,,,,,,,,,,
,Nov-10,122.4,,,,,,,,,,,,,,,
,Dec-10,123.2,,,,,,,,,,,,,,,
,Jan-11,124.4,,,,,,,,,,,,,,,
,Feb-11,124.9,,,,,,,,,,,,,,,
,Mar-11,127.6,,,,,,,,,,,,,,,
,Apr-11,127.1,,,,,,,,,,,,,,,
,May-11,128,,,,,,,,,,,,,,,
,Jun-11,128.7,,,,,,,,,,,,,,,
,Jul-11,129.7,,,,,,,,,,,,,,,
,Aug-11,129.2,,,,,,,,,,,,,,,
,Sep-11,128.2,,,,,,,,,,,,,,,
,Oct-11,127.8,,,,,,,,,,,,,,,
,Nov-11,129.4,,,,,,,,,,,,,,,
,Dec-11,129.4,,,,,,,,,,,,,,,
,Jan-12,130.5,,,,,,,,,,,,,,,
,Feb-12,130.8,,,,,,,,,,,,,,,
,Mar-12,130.1,,,,,,,,,,,,,,,
,Apr-12,130.1,,,,,,,,,,,,,,,
,May-12,131.2,,,,,,,,,,,,,,,
,Jun-12,131,,,,,,,,,,,,,,,
,Jul-12,132.2,,,,,,,,,,,,,,,
,Aug-12,132.1,,,,,,,,,,,,,,,
,Sep-12,130,,,,,,,,,,,,,,,
,Oct-12,130.2,,,,,,,,,,,,,,,
,Nov-12,131.3,,,,,,,,,,,,,,,
,Dec-12,131,,,,,,,,,,,,,,,
,Jan-13,131.3,,,,,,,,,,,,,,,
,Feb-13,133.1,,,,,,,,,,,,,,,
,Mar-13,132.3,,,,,,,,,,,,,,,
,Apr-13,132.3,,,,,,,,,,,,,,,
,May-13,132.9,,,,,,,,,,,,,,,
,Jun-13,132.7,,,,,,,,,,,,,,,
,Jul-13,132.8,,,,,,,,,,,,,,,
,Aug-13,133,,,,,,,,,,,,,,,
,Sep-13,131.4,,,,,,,,,,,,,,,
,Oct-13,131.1,,,,,,,,,,,,,,,
,Nov-13,132.7,,,,,,,,,,,,,,,
,Dec-13,132,,,,,,,,,,,,,,,
,Jan-14,132.6,,,,,,,,,,,,,,,
,Feb-14,134.4,,,,,,,,,,,,,,,
,Mar-14,134.6,,,,,,,,,,,,,,,
,Apr-14,134.6,,,,,,,,,,,,,,,
,May-14,136.2,,,,,,,,,,,,,,,
,Jun-14,137,,,,,,,,,,,,,,,
,Jul-14,137,,,,,,,,,,,,,,,
,Aug-14,136,,,,,,,,,,,,,,,
,Sep-14,135.3,,,,,,,,,,,,,,,
,Oct-14,135.1,,,,,,,,,,,,,,,
,Nov-14,137.1,,,,,,,,,,,,,,,
,Dec-14,137.6,,,,,,,,,,,,,,,
,Jan-15,139.7,,,,,,,,,,,,,,,
,Feb-15,140.2,,,,,,,,,,,,,,,
,Mar-15,140.2,,,,,,,,,,,,,,,
,Apr-15,140,,,,,,,,,,,,,,,
,May-15,141.8,,,,,,,,,,,,,,,
,Jun-15,141.9,,,,,,,,,,,,,,,
,Jul-15,141.8,,,,,,,,,,,,,,,
,Aug-15,141.4,,,,,,,,,,,,,,,
,Sep-15,140.6,,,,,,,,,,,,,,,
,Oct-15,141.3,,,,,,,,,,,,,,,
,Nov-15,142.2,,,,,,,,,,,,,,,
,Dec-15,143.2,,,,,,,,,,,,,,,
,Jan-16,146.1,,,,,,,,,,,,,,,
,Feb-16,146.4,,,,,,,,,,,,,,,
,Mar-16,145.8,,,,,,,,,,,,,,,
,Apr-16,144.6,,,,,,,,,,,,,,,
,May-16,143.8,,,,,,,,,,,,,,,
,Jun-16,143.1,,,,,,,,,,,,,,,
,Jul-16,143.4,,,,,,,,,,,,,,,
,Aug-16,142,,,,,,,,,,,,,,,
,Sep-16,139.3,,,,,,,,,,,,,,,
,Oct-16,138.4,,,,,,,,,,,,,,,
,Nov-16,139.4,,,,,,,,,,,,,,,
,Dec-16,139.2,,,,,,,,,,,,,,,
,Jan-17,140.3,,,,,,,,,,,,,,,
,Feb-17,140.4,,,,,,,,,,,,,,,
,Mar-17,140.6,,,,,,,,,,,,,,,
,Apr-17,140.9,,,,,,,,,,,,,,,
,May-17,142.1,,,,,,,,,,,,,,,
,Jun-17,142.6,,,,,,,,,,,,,,,
,Jul-17,143.2,,,,,,,,,,,,,,,
,Aug-17,142.4,,,,,,,,,,,,,,,
,Sep-17,140.5,,,,,,,,,,,,,,,
,Oct-17,139.2,,,,,,,,,,,,,,,
,Nov-17,140.7,,,,,,,,,,,,,,,
,Dec-17,141.3,,,,,,,,,,,,,,,
,Jan-18,142.6,,,,,,,,,,,,,,,
,Feb-18,142.3,,,,,,,,,,,,,,,
,Mar-18,141.3,,,,,,,,,,,,,,,
,Apr-18,141.9,,,,,,,,,,,,,,,
,May-18,141.4,,,,,,,,,,,,,,,
,Jun-18,142.7,,,,,,,,,,,,,,,
,Jul-18,143.3,,,,,,,,,,,,,,,
,Aug-18,142.8,,,,,,,,,,,,,,,
,Sep-18,141.4,,,,,,,,,,,,,,,
,Oct-18,140.7,,,,,,,,,,,,,,,
,Nov-18,142.7,,,,,,,,,,,,,,,
,Dec-18,144.8,,,,,,,,,,,,,,,
,Jan-19,146.1,,,,,,,,,,,,,,,
,Feb-19,147.1,,,,,,,,,,,,,,,
,Mar-19,147,,,,,,,,,,,,,,,
,Apr-19,146.1,,,,,,,,,,,,,,,
,May-19,147.1,,,,,,,,,,,,,,,
,Jun-19,148.3,,,,,,,,,,,,,,,
,Jul-19,149.3,,,,,,,,,,,,,,,
,Aug-19,148.4,,,,,,,,,,,,,,,
,Sep-19,147.2,,,,,,,,,,,,,,,
,Oct-19,146.5,,,,,,,,,,,,,,,
,Nov-19,148.2,,,,,,,,,,,,,,,
,Dec-19,149.4,,,,,,,,,,,,,,,
,Jan-20,151.6,,,,,,,,,,,,,,,
,Feb-20,150.6,,,,,,,,,,,,,,,
,Mar-20,150.5,,,,,,,,,,,,,,,
,Apr-20,151.9,,,,,,,,,,,,,,,
,May-20,152.3,,,,,,,,,,,,,,,
,Jun-20,152.8,,,,,,,,,,,,,,,
,Jul-20,152.9,,,,,,,,,,,,,,,
,Aug-20,150.8,,,,,,,,,,,,,,,
,Sep-20,149.1,,,,,,,,,,,,,,,
,Oct-20,149.9,,,,,,,,,,,,,,,
,Nov-20,150.6,,,,,,,,,,,,,,,
,Dec-20,150.2,,,,,,,,,,,,,,,
,Jan-21,151.7,,,,,,,,,,,,,,,
,Feb-21,152.6,,,,,,,,,,,,,,,
,Mar-21,152.5,,,,,,,,,,,,,,,
,Apr-21,152,,,,,,,,,,,,,,,
,May-21,153.6,,,,,,,,,,,,,,,
,Jun-21,153.8,,,,,,,,,,,,,,,
,Jul-21,154.4,,,,,,,,,,,,,,,
,Aug-21,154.7,,,,,,,,,,,,,,,
,Sep-21,155.4,,,,,,,,,,,,,,,
,Oct-21,155.8,,,,,,,,,,,,,,,
,Nov-21,157.7,,,,,,,,,,,,,,,
,Dec-21,158.8,,,,,,,,,,,,,,,
,Jan-22,161.5,,,,,,,,,,,,,,,
,Feb-22,163.9,,,,,,,,,,,,,,,
,Mar-22,165.7,,,,,,,,,,,,,,,
,Apr-22,166.8,,,,,,,,,,,,,,,
,May-22,168.5,,,,,,,,,,,,,,,
,Jun-22,168.3,,,,,,,,,,,,,,,
,Jul-22,169.7,,,,,,,,,,,,,,,
,Aug-22,171.4,,,,,,,,,,,,,,,
,Sep-22,173.1,,,,,,,,,,,,,,,
,Oct-22,173,,,,,,,,,,,,,,,
,Nov-22,175.7,,,,,,,,,,,,,,,
,Dec-22,176.3,,,,,,,,,,,,,,,
,Jan-23,179.9,,,,,,,,,,,,,,,
,Feb-23,181.2,,,,,,,,,,,,,,,
,Mar-23,181.7,,,,,,,,,,,,,,,
,Apr-23,182,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,
1,"The Consumer Price Index (CPI) is not a cost-of-living index. The objective behind a cost-of-living index is to measure changes in expenditures necessary for consumers to maintain a constant standard of living. The idea is that consumers would normally switch between products as the price relationship of goods changes. If, for example, consumers get the same satisfaction from drinking tea as they do from coffee, then it is possible to substitute tea for coffee if the price of tea falls relative to the price of coffee. The cheaper of the interchangeable products may be chosen. We could compute a cost-of-living index for an individual if we had complete information about that person's taste and spending habits. To do this for a large number of people, let alone the total population of Canada, is impossible. For this reason, regularly published price indexes are based on the fixed-basket concept rather than the cost-of-living concept.",,,,,,,,,,,,,,,,
2,This table replaces table 18-10-0008-01 which was archived with the release of April 2007 data.,,,,,,,,,,,,,,,,
3,"From April 2020 to November 2021, and from January 2022 to February 2022, certain sub-indexes and components thereof were imputed using special approaches in either one, or more months. The affected indexes include child care services; housekeeping services; air transportation; personal care services; recreational services; travel tours; spectator entertainment; use of recreational facilities and services; beer served in licensed establishments; wine served in licensed establishments, and liquor served in licensed establishments. The details of these treatments from April 2020 to March 2021 are provided in technical supplements available through the <a href=https://www150.statcan.gc.ca/n1/en/catalogue/62F0014M"" rel=""external noopener noreferrer"" target=""_blank"">Prices Analytical Series (opens new window)</a>. Starting in April 2021"," details and treatments are available upon request by contacting the <a href=""mailto:statcan.cpddisseminationunit-dpcunitedediffusion.statcan@statcan.gc.ca"" rel=""external noopener noreferrer"" target=""_blank"">Consumer Prices Division (opens new window)</a>.""",,,,,,,,,,,,,,,
4,"The goods and services that make up the Consumer Price Index (CPI) are organized according to a hierarchical structure with the all-items CPI"" as the top level. Eight major components of goods and services make up the ""all-items CPI"". They are: ""food"""," ""shelter"""," ""household operations"," furnishings and equipment"""," ""clothing and footwear"""," ""transportation"""," ""health and personal care"""," ""recreation"," education and reading"""," and ""alcoholic beverages"," tobacco products and recreational cannabis"". These eight components are broken down into a varying number of sub-groups which are in turn broken down into other sub-groups. Indents are used to identify the components that make up each level of aggregation. For example"," the eight major components appear with one indent relative to the ""all-items CPI"" to show that they are combined to obtain the ""all-items CPI"". NOTE: Some items are recombined outside the main structure of the CPI to obtain special aggregates such as ""all-items excluding food and energy"""," ""energy"""," ""goods"""," ""services"""," or ""fresh fruit and vegetables"". They are listed after the components of the main structure of the CPI following the last major component entitled ""alcoholic beverages"," tobacco products and recreational cannabis""."""
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 18-10-0004-01  Consumer Price Index, monthly, not seasonally adjusted",,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401,,,,,,,,,,,,,,,,,
